objectid,filename,title,title-es,illustrator,location_first_en,location_first_es,latitude_first,longitude_first,location_second_en,location_second_es,latitude_second,longitude_second,type,format,right,rightstatement
latchbo0232,latchbo0227.jpg,My Shoes and I: Crossing Three Borders; Do I Belong Here?,Mis zapatos y yo: Cruzando tres fronteras; ¿Es este mi lugar?,Fabricio Vaden Broeck,"Mexico City, Mexico","Cuidad de México, México",19.43519315,-99.13320935,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0233,latchbo0228.jpg,"Water, Little Water; Little Crow to the Rescue; Mother Fox and Mr. Coyote; Fire, Little Fire; Earth, Little Earth; Wind, Little Wind","Agua, Agüita; El cuervito al rescate; Mamá Zorra y Don Coyote; Fuego, Fueguito; Tierra, Tierrita; Viento, Vientito",Felipe Ugalde Alcántara,"Mexico City, Mexico","Cuidad de México, México",19.43519315,-99.13320935,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0234,latchbo0229.jpg,Isabel Allende: Memories for a Story,Isabel Allende: Recuerdos para un cuento,Fernando Molinari,Argentina,Argentina,-38.411495,-63.61736291,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0235,latchbo0230.jpeg,Josefina's Habichuelas; Just One Itsy Bitsy Little Bite; When Julia Danced Bomba,Las habichuelas de Josefina; Sólo una mordidita chiquitita; Cuando Julia bailaba bomba,Flor De Vita,"Veracruz, Mexico","Veracruz, México",19.18026511,-96.10521173,"Jalisco, Mexico","Jalisco, México",20.66242449,-103.3497823,image; stillimage,image/jpeg,Arte Público Press,
latchbo0236,,Delicious Hullabaloo,Pachanga deliciosa,Francisco X. Mora,"Mexico City, Mexico","Cuidad de México, México",19.43519315,-99.13320935,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0237,,Lupita's First Dance; Mayanito's New Friends; Sand and Song: The ABCS of the River,El primer baile de Lupita; Los nuevos amigos de Mayanito; Arenas y trinos: Abecedario del río,Gabhor Utomo,Indonesia,Indonesia,-0.7854985994,113.9208106,"Portland, OR","Portland, OR",45.51881086,-122.6777028,image; stillimage,image/jpeg,Arte Público Press,
latchbo0238,latchbo0233.jpg,Harvesting Friends; Francisco's Kites,Cosechando amigos; Las cometas de Francisco,Gary Undercuffler,Pennsylvania,Pennsylvania,41.20819991,-77.19418578,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0239,latchbo0234.jpg,Mimí's Parranda,La parranda de Mimí,Hernán Sosa,"Samuhú, Argentina","Samuhú, Argentina",-27.51355439,-60.39287796,"Denver, CO","Denver, CO",39.7447505,-104.9902555,image; stillimage,image/jpeg,Arte Público Press,
latchbo0240,latchbo0235.jpg,A Day Without Sugar,Un día sin azúcar,Janet Montecalvo,"Boston, MA","Boston, MA",42.3651266,-71.05957107,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0241,latchbo0236.jpg,Do You Know the Cucuy?; It's Bedtime Cucuy!,"¿Conoces al Cucuy?; ¡A la cama, Cucuy!",Jonathan Coombs,Utah,Utah,39.32626281,-111.0937356,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0242,latchbo0237.jpg,The Stranger and the Red Rooster,El forastero y el gallo rojo,José Jara,"Oceanside, CA","Oceanside, CA",33.20187542,-117.378115,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0243,latchbo0238.jpg,"The Frog and His Friends Save Humanity; Goodnight, Papito Dios","La rana y sus amigos salvan a la humanidad; Buenas noches, Papito Dios",José Ramírez,"Los Angeles, CA","Los Ángeles, CA",34.06028437,-118.2429911,,,,,image; stillimage,image/jpeg,Arte Público Press,
